video_id,pattern_type,pattern,timestamp,category,source_file
75,community,vs,"Feb 11, 2025, 8:16:23 PM PST",Entertainment,youtube_analysis_20250228_043004_patterns.csv
77,trending,new,"Feb 11, 2025, 8:15:49 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
77,monetization,ad\b,"Feb 11, 2025, 8:15:49 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
84,monetization,ad\b,"Feb 11, 2025, 6:13:12 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
84,monetization,#ad,"Feb 11, 2025, 6:13:12 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
89,trending,shorts,Doctor Marvelist,Shorts,youtube_analysis_20250228_043004_patterns.csv
97,trending,new,"Feb 11, 2025, 6:06:26 PM PST",News,youtube_analysis_20250228_043004_patterns.csv
97,monetization,ad\b,"Feb 11, 2025, 6:06:26 PM PST",News,youtube_analysis_20250228_043004_patterns.csv
100,trending,shorts,"Feb 11, 2025, 6:05:12 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
102,trending,viral,"Feb 11, 2025, 6:04:09 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
102,trending,shorts,"Feb 11, 2025, 6:04:09 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
106,series,#\d+,"Feb 11, 2025, 6:01:39 PM PST",Music,youtube_analysis_20250228_043004_patterns.csv
108,trending,new,"Feb 11, 2025, 6:00:49 PM PST",Technology,youtube_analysis_20250228_043004_patterns.csv
114,trending,viral,"Feb 11, 2025, 5:19:07 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
114,trending,shorts,"Feb 11, 2025, 5:19:07 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
116,series,#\d+,"Feb 11, 2025, 5:10:57 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
116,monetization,ad\b,"Feb 11, 2025, 5:10:57 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
118,trending,new,"Feb 11, 2025, 3:13:58 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
118,series,season,"Feb 11, 2025, 3:13:58 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
119,monetization,ad\b,"Feb 11, 2025, 3:13:54 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
119,monetization,#ad,"Feb 11, 2025, 3:13:54 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
120,series,#\d+,"Feb 11, 2025, 2:55:08 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
120,trending,new,"Feb 11, 2025, 2:55:08 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
120,monetization,ad\b,"Feb 11, 2025, 2:55:08 PM PST",Gaming,youtube_analysis_20250228_043004_patterns.csv
122,trending,shorts,"Feb 11, 2025, 2:52:30 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
123,trending,shorts,"Feb 11, 2025, 2:51:34 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
125,series,season,"Feb 11, 2025, 2:51:00 PM PST",Entertainment,youtube_analysis_20250228_043004_patterns.csv
129,trending,shorts,"Feb 11, 2025, 2:47:06 PM PST",Comedy,youtube_analysis_20250228_043004_patterns.csv
129,trending,viral,"Feb 11, 2025, 2:47:06 PM PST",Comedy,youtube_analysis_20250228_043004_patterns.csv
131,community,ft\.,"Feb 11, 2025, 2:44:32 PM PST",Music,youtube_analysis_20250228_043004_patterns.csv
133,community,feat,"Feb 11, 2025, 2:42:26 PM PST",Entertainment,youtube_analysis_20250228_043004_patterns.csv
135,trending,viral,"Feb 11, 2025, 2:41:15 PM PST",Comedy,youtube_analysis_20250228_043004_patterns.csv
135,trending,shorts,"Feb 11, 2025, 2:41:15 PM PST",Comedy,youtube_analysis_20250228_043004_patterns.csv
136,trending,shorts,"Feb 11, 2025, 2:39:55 PM PST",Shorts,youtube_analysis_20250228_043004_patterns.csv
137,community,ft\.,"Feb 11, 2025, 11:59:34 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
138,community,ft\.,Mike Perry - The Ocean ft. Shy Martin,Music,youtube_analysis_20250228_043004_patterns.csv
139,community,ft\.,"Feb 11, 2025, 11:51:42 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
141,community,ft\.,"Feb 11, 2025, 11:44:45 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
142,community,ft\.,"Feb 11, 2025, 11:41:35 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
142,community,vs,"Feb 11, 2025, 11:41:35 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
147,community,ft\.,"Feb 11, 2025, 11:26:00 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
148,community,ft\.,Marshmello ft. Bastille - Happier (Official Music Video),Music,youtube_analysis_20250228_043004_patterns.csv
149,community,ft\.,"Feb 11, 2025, 11:18:11 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
151,community,ft\.,Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video),Music,youtube_analysis_20250228_043004_patterns.csv
152,community,ft\.,"Feb 11, 2025, 11:13:27 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
155,community,ft\.,"Feb 11, 2025, 11:00:37 AM PST",Music,youtube_analysis_20250228_043004_patterns.csv
