date,count,total,percent
2024-02-26,99,188,52.7
2024-02-29,68,148,45.9
2024-03-01,70,77,90.9
2024-03-05,25,63,39.7
2024-03-06,83,86,96.5
2024-03-07,32,121,26.4
2024-03-08,25,79,31.6
2024-03-09,25,54,46.3
2024-03-10,79,145,54.5
2024-03-11,28,84,33.3
2024-03-12,34,98,34.7
2024-03-13,34,88,38.6
2024-03-15,74,157,47.1
2024-03-16,88,88,100.0
2024-03-17,29,49,59.2
2024-03-18,61,91,67.0
2024-03-20,36,67,53.7
2024-03-22,61,103,59.2
2024-03-23,78,98,79.6
2024-03-25,32,55,58.2
2024-03-27,148,206,71.8
2024-03-29,40,61,65.6
2024-04-02,26,95,27.4
2024-04-03,39,94,41.5
2024-04-04,73,118,61.9
2024-04-07,48,71,67.6
2024-04-09,28,111,25.2
2024-04-10,79,146,54.1
2024-04-19,98,160,61.3
2024-04-20,51,138,37.0
2024-04-21,36,101,35.6
2024-04-23,26,106,24.5
2024-04-26,108,165,65.5
2024-04-29,56,106,52.8
2024-05-02,30,92,32.6
2024-05-04,80,148,54.1
2024-05-05,42,96,43.8
2024-05-06,108,166,65.1
2024-05-09,49,186,26.3
2024-05-10,91,101,90.1
2024-05-11,41,85,48.2
2024-05-13,113,133,85.0
2024-05-14,45,96,46.9
2024-05-15,30,59,50.8
2024-05-16,144,168,85.7
2024-05-17,45,102,44.1
2024-05-22,74,117,63.2
2024-05-31,95,137,69.3
2024-06-06,122,180,67.8
2024-06-07,31,165,18.8
2024-06-08,30,51,58.8
2024-06-10,33,67,49.3
2024-06-11,29,68,42.6
2024-06-12,38,60,63.3
2024-06-15,25,42,59.5
2024-06-17,25,53,47.2
2024-06-23,32,63,50.8
2024-06-29,51,53,96.2
2024-06-30,102,173,59.0
2024-07-02,74,158,46.8
2024-07-04,99,145,68.3
2024-07-06,44,85,51.8
2024-07-07,57,61,93.4
2024-07-09,82,137,59.9
2024-07-13,37,82,45.1
2024-07-15,52,78,66.7
2024-07-16,548,548,100.0
2024-07-17,697,697,100.0
2024-07-18,133,147,90.5
2024-07-19,723,723,100.0
2024-07-20,557,560,99.5
2024-07-21,73,94,77.7
2024-07-22,961,961,100.0
2024-07-23,1052,1054,99.8
2024-07-24,756,771,98.1
2024-07-25,647,666,97.1
2024-07-26,460,460,100.0
2024-07-27,603,606,99.5
2024-07-28,1660,1662,99.9
2024-07-29,403,406,99.3
2024-07-30,1008,1008,100.0
2024-07-31,58,58,100.0
2024-08-01,376,403,93.3
2024-08-02,418,422,99.1
2024-08-04,1021,1039,98.3
2024-08-05,518,547,94.7
2024-08-06,276,293,94.2
2024-08-07,529,543,97.4
2024-08-08,127,164,77.4
2024-08-09,342,342,100.0
2024-08-10,887,887,100.0
2024-08-11,1637,1637,100.0
2024-08-12,253,283,89.4
2024-08-13,734,748,98.1
2024-08-14,364,383,95.0
2024-08-15,146,147,99.3
2024-08-16,655,678,96.6
2024-08-17,179,179,100.0
2024-08-18,116,137,84.7
2024-08-19,84,84,100.0
2024-08-20,1093,1093,100.0
2024-08-21,457,472,96.8
2024-08-22,533,541,98.5
2024-08-23,754,776,97.2
2024-08-24,436,453,96.2
2024-08-25,631,631,100.0
2024-08-26,738,738,100.0
2024-08-27,134,167,80.2
2024-08-28,506,506,100.0
2024-08-29,1265,1267,99.8
2024-08-30,392,428,91.6
2024-08-31,608,610,99.7
2024-09-01,178,195,91.3
2024-09-02,386,395,97.7
2024-09-03,541,570,94.9
2024-09-04,521,522,99.8
2024-09-05,228,238,95.8
2024-09-06,747,747,100.0
2024-09-07,1116,1134,98.4
2024-09-08,308,327,94.2
2024-09-09,1399,1399,100.0
2024-09-10,806,821,98.2
2024-09-11,845,882,95.8
2024-09-12,600,626,95.8
2024-09-13,545,551,98.9
2024-09-14,515,515,100.0
2024-09-15,599,604,99.2
2024-09-16,873,934,93.5
2024-09-17,810,863,93.9
2024-09-18,339,393,86.3
2024-09-19,233,242,96.3
2024-09-20,757,774,97.8
2024-09-21,379,379,100.0
2024-09-22,607,613,99.0
2024-09-23,423,438,96.6
2024-09-24,427,432,98.8
2024-09-25,622,631,98.6
2024-09-26,529,529,100.0
2024-09-27,442,458,96.5
2024-09-28,548,558,98.2
2024-09-29,278,330,84.2
2024-09-30,300,313,95.8
2024-10-01,372,384,96.9
2024-10-02,178,178,100.0
2024-10-03,264,268,98.5
2024-10-04,202,247,81.8
2024-10-05,582,643,90.5
2024-10-06,599,605,99.0
2024-10-07,699,699,100.0
2024-10-08,355,378,93.9
2024-10-09,794,812,97.8
2024-10-10,725,751,96.5
2024-10-11,340,386,88.1
2024-10-12,283,296,95.6
2024-10-13,678,682,99.4
2024-10-14,432,432,100.0
2024-10-15,597,607,98.4
2024-10-16,500,515,97.1
2024-10-17,793,817,97.1
2024-10-18,605,626,96.6
2024-10-19,756,784,96.4
2024-10-20,835,837,99.8
2024-10-21,444,444,100.0
2024-10-22,318,318,100.0
2024-10-23,350,372,94.1
2024-10-24,780,781,99.9
2024-10-25,214,216,99.1
2024-10-26,366,366,100.0
2024-10-27,103,146,70.5
2024-10-28,732,771,94.9
2024-10-29,327,357,91.6
2024-10-30,931,938,99.3
2024-10-31,632,647,97.7
2024-11-01,1434,1434,100.0
2024-11-02,943,943,100.0
2024-11-03,789,789,100.0
2024-11-04,893,903,98.9
2024-11-05,435,449,96.9
2024-11-06,320,320,100.0
2024-11-07,516,516,100.0
2024-11-08,965,971,99.4
2024-11-09,298,303,98.3
2024-11-10,420,420,100.0
2024-11-11,1133,1133,100.0
2024-11-12,774,774,100.0
2024-11-13,531,543,97.8
2024-11-14,997,997,100.0
2024-11-15,742,762,97.4
2024-11-16,612,615,99.5
2024-11-17,796,811,98.2
2024-11-18,884,899,98.3
2024-11-19,370,392,94.4
2024-11-20,207,220,94.1
2024-11-21,881,881,100.0
2024-11-22,385,397,97.0
2024-11-23,73,107,68.2
2024-11-24,101,101,100.0
2024-11-25,194,222,87.4
2024-11-26,682,727,93.8
2024-11-27,844,848,99.5
2024-11-28,244,249,98.0
2024-11-29,296,305,97.0
2024-11-30,129,146,88.4
2024-12-01,120,120,100.0
2024-12-02,642,655,98.0
2024-12-03,429,432,99.3
2024-12-04,355,356,99.7
2024-12-05,529,576,91.8
2024-12-06,419,419,100.0
2024-12-07,252,274,92.0
2024-12-08,518,526,98.5
2024-12-09,390,390,100.0
2024-12-10,218,218,100.0
2024-12-11,232,241,96.3
2024-12-12,470,470,100.0
2024-12-13,100,147,68.0
2024-12-14,533,563,94.7
2024-12-15,448,469,95.5
2024-12-16,197,241,81.7
2024-12-17,546,546,100.0
2024-12-18,232,232,100.0
2024-12-19,331,341,97.1
2024-12-20,322,357,90.2
2024-12-21,716,723,99.0
2024-12-22,540,542,99.6
2024-12-23,207,239,86.6
2024-12-24,668,685,97.5
2024-12-25,184,199,92.5
2024-12-26,259,259,100.0
2024-12-27,814,814,100.0
2024-12-28,220,268,82.1
2024-12-29,1130,1140,99.1
2024-12-30,344,362,95.0
2025-01-01,894,906,98.7
2025-01-02,660,660,100.0
2025-01-03,604,618,97.7
2025-01-04,354,357,99.2
2025-01-05,555,570,97.4
2025-01-06,413,413,100.0
2025-01-07,782,782,100.0
2025-01-08,506,526,96.2
2025-01-09,607,618,98.2
2025-01-10,40,41,97.6
2025-01-11,678,690,98.3
2025-01-12,129,161,80.1
2025-01-13,566,588,96.3
2025-01-14,533,540,98.7
2025-01-15,982,982,100.0
2025-01-16,885,893,99.1
2025-01-17,579,588,98.5
2025-01-18,1158,1160,99.8
2025-01-19,619,624,99.2
2025-01-20,813,813,100.0
2025-01-21,1951,1982,98.4
2025-01-22,749,758,98.8
2025-01-23,1174,1198,98.0
2025-01-24,1539,1591,96.7
2025-01-25,448,458,97.8
2025-01-26,243,264,92.0
2025-01-27,909,909,100.0
2025-01-28,47,112,42.0
2025-01-29,1149,1153,99.7
2025-01-30,1144,1144,100.0
2025-01-31,1155,1160,99.6
2025-02-01,1602,1603,99.9
2025-02-02,1368,1368,100.0
2025-02-03,2684,2694,99.6
2025-02-04,313,332,94.3
2025-02-05,1756,1759,99.8
2025-02-06,877,877,100.0
2025-02-07,1983,1999,99.2
2025-02-08,1150,1183,97.2
2025-02-09,1224,1241,98.6
2025-02-10,1092,1092,100.0
