month,total_videos,addiction,doom_scrolling,escapism,negative_mood,unhealthy_comparison,rabbit_holes,addiction_pct,doom_scrolling_pct,escapism_pct,negative_mood_pct,unhealthy_comparison_pct,rabbit_holes_pct
2024-02,486,97,167,0.0,0.0,0.0,12.0,20.0,34.4,0.0,0.0,0.0,2.5
2024-03,2475,2475,1082,201.0,0.0,0.0,36.0,100.0,43.7,8.1,0.0,0.0,1.5
2024-04,2457,2194,668,585.0,0.0,0.0,53.0,89.3,27.2,23.8,0.0,0.0,2.2
2024-05,2582,2417,987,277.0,0.0,0.0,68.0,93.6,38.2,10.7,0.0,0.0,2.6
2024-06,1821,1194,518,230.0,0.0,0.0,0.0,65.6,28.4,12.6,0.0,0.0,0.0
2024-07,11471,10004,10784,5248.0,0.0,0.0,5457.0,87.2,94.0,45.8,0.0,0.0,47.6
2024-08,16647,16647,16209,6817.0,0.0,0.0,9044.0,100.0,97.4,41.0,0.0,0.0,54.3
2024-09,17413,17413,16901,2886.0,0.0,0.0,11246.0,100.0,97.1,16.6,0.0,0.0,64.6
2024-10,16303,16303,15786,3461.0,0.0,0.0,10827.0,100.0,96.8,21.2,0.0,0.0,66.4
2024-11,18177,18177,17888,2893.0,0.0,0.0,11898.0,100.0,98.4,15.9,0.0,0.0,65.5
2024-12,12845,12845,12365,1187.0,0.0,0.0,8550.0,100.0,96.3,9.2,0.0,0.0,66.6
2025-01,23259,23259,22865,7171.0,0.0,0.0,13938.0,100.0,98.3,30.8,0.0,0.0,59.9
2025-02,15599,15599,15492,7903.0,0.0,0.0,9435.0,100.0,99.3,50.7,0.0,0.0,60.5
